Id;Chapter;Page;Sentence;Tagged;Lemma;WordId
1;Welcome;8;A car.;[('A', 'DT'), ('car', 'NN'), ('.', '.')];['A', 'car', '.']
2;Welcome;9;Work with a partner.;[('Work', 'NN'), ('with', 'IN'), ('a', 'DT'), ('partner', 'NN'), ('.', '.')];['Work', 'with', 'a', 'partner', '.']
3;Welcome;9;Where are Charlie, Emma, Caroline, George, Gillian and Rajiv?;[('Where', 'WRB'), ('are', 'VBP'), ('Charlie', 'NNP'), (',', ','), ('Emma', 'NNP'), (',', ','), ('Caroline', 'NNP'), (',', ','), ('George', 'NNP'), (',', ','), ('Gillian', 'NNP'), ('and', 'CC'), ('Rajiv', 'NNP'), ('?', '.')];['Where', 'are', 'Charlie', ',', 'Emma', ',', 'Caroline', ',', 'George', ',', 'Gillian', 'and', 'Rajiv', '?']
4;Welcome;9;Where is Charlie?;[('Where', 'WRB'), ('is', 'VBZ'), ('Charlie', 'NNP'), ('?', '.')];['Where', 'is', 'Charlie', '?']
5;Welcome;9;Charlie is near the dogs.;[('Charlie', 'NNP'), ('is', 'VBZ'), ('near', 'IN'), ('the', 'DT'), ('dogs', 'NNS'), ('.', '.')];['Charlie', 'is', 'near', 'the', 'dog', '.']
6;Welcome;10;Where are you from?;[('Where', 'WRB'), ('are', 'VBP'), ('you', 'PRP'), ('from', 'IN'), ('?', '.')];['Where', 'are', 'you', 'from', '?']
7;Welcome;10;Hi, my name is Emma.;[('Hi', 'NNP'), (',', ','), ('my', 'PRP$'), ('name', 'NN'), ('is', 'VBZ'), ('Emma', 'NNP'), ('.', '.')];['Hi', ',', 'my', 'name', 'is', 'Emma', '.']
8;Welcome;10;What’s your name?;[('What’s', 'IN'), ('your', 'PRP$'), ('name', 'NN'), ('?', '.')];['What’s', 'your', 'name', '?']
9;Welcome;10;Hello!;[('Hello', 'NN'), ('!', '.')];['Hello', '!']
10;Welcome;10;I’m Gillian.;[('I’m', 'NNP'), ('Gillian', 'NNP'), ('.', '.')];['I’m', 'Gillian', '.']
11;Welcome;10;Hi!;[('Hi', 'NN'), ('!', '.')];['Hi', '!']
12;Welcome;10;I’m Caroline.;[('I’m', 'NNP'), ('Caroline', 'NNP'), ('.', '.')];['I’m', 'Caroline', '.']
13;Welcome;10;I’m from Manchester.;[('I’m', 'NN'), ('from', 'IN'), ('Manchester', 'NNP'), ('.', '.')];['I’m', 'from', 'Manchester', '.']
14;Welcome;10;This is George – my brother.;[('This', 'DT'), ('is', 'VBZ'), ('George', 'NNP'), ('–', 'NNP'), ('my', 'PRP$'), ('brother', 'NN'), ('.', '.')];['This', 'is', 'George', '–', 'my', 'brother', '.']
15;Welcome;10;Hi!;[('Hi', 'NN'), ('!', '.')];['Hi', '!']
16;Welcome;10;Oh, an elephant!;[('Oh', 'UH'), (',', ','), ('an', 'DT'), ('elephant', 'NN'), ('!', '.')];['Oh', ',', 'an', 'elephant', '!']
17;Welcome;10;I don’t like elephants.;[('I', 'PRP'), ('don’t', 'VBP'), ('like', 'IN'), ('elephants', 'NNS'), ('.', '.')];['I', 'don’t', 'like', 'elephant', '.']
18;Welcome;10;How old are you?;[('How', 'WRB'), ('old', 'JJ'), ('are', 'VBP'), ('you', 'PRP'), ('?', '.')];['How', 'old', 'are', 'you', '?']
19;Welcome;10;Elephants are my favourite animals.;[('Elephants', 'NNS'), ('are', 'VBP'), ('my', 'PRP$'), ('favourite', 'JJ'), ('animals', 'NNS'), ('.', '.')];['Elephants', 'are', 'my', 'favourite', 'animal', '.']
20;Welcome;10;I like football.;[('I', 'PRP'), ('like', 'VBP'), ('football', 'NN'), ('.', '.')];['I', 'like', 'football', '.']
21;Welcome;10;Manchester United is my team!;[('Manchester', 'NNP'), ('United', 'NNP'), ('is', 'VBZ'), ('my', 'PRP$'), ('team', 'NN'), ('!', '.')];['Manchester', 'United', 'is', 'my', 'team', '!']
22;Welcome;10;I’m twelve.;[('I’m', 'NNP'), ('twelve', 'NN'), ('.', '.')];['I’m', 'twelve', '.']
23;Welcome;10;I’m eleven.;[('I’m', 'NNP'), ('eleven', 'RB'), ('.', '.')];['I’m', 'eleven', '.']
24;Welcome;10;Boring!;[('Boring', 'NN'), ('!', '.')];['Boring', '!']
25;Welcome;10;We’re eleven, too.;[('We’re', 'NNP'), ('eleven', 'RB'), (',', ','), ('too', 'RB'), ('.', '.')];['We’re', 'eleven', ',', 'too', '.']
26;Welcome;10;We’re twins.;[('We’re', 'NNP'), ('twins', 'NNS'), ('.', '.')];['We’re', 'twin', '.']
27;Welcome;10;Boring!;[('Boring', 'NN'), ('!', '.')];['Boring', '!']
28;Welcome;11;Talk to a partner.;[('Talk', 'NN'), ('to', 'TO'), ('a', 'DT'), ('partner', 'NN'), ('.', '.')];['Talk', 'to', 'a', 'partner', '.']
29;Welcome;11;What about you?;[('What', 'WP'), ('about', 'IN'), ('you', 'PRP'), ('?', '.')];['What', 'about', 'you', '?']
30;Welcome;11;Write a text.;[('Write', 'VB'), ('a', 'DT'), ('text', 'NN'), ('.', '.')];['Write', 'a', 'text', '.']
31;Welcome;11;My name is Leon .;[('My', 'PRP$'), ('name', 'NN'), ('is', 'VBZ'), ('Leon', 'NNP'), ('.', '.')];['My', 'name', 'is', 'Leon', '.']
32;Welcome;11;I’m ten .;[('I’m', 'NNP'), ('ten', 'NN'), ('.', '.')];['I’m', 'ten', '.']
33;Welcome;11;I’m from Münster .;[('I’m', 'NN'), ('from', 'IN'), ('Münster', 'NNP'), ('.', '.')];['I’m', 'from', 'Münster', '.']
34;Welcome;11;I like dogs .;[('I', 'PRP'), ('like', 'VBP'), ('dogs', 'NNS'), ('.', '.')];['I', 'like', 'dog', '.']
35;Welcome;11;I don’t like fish .;[('I', 'PRP'), ('don’t', 'VBP'), ('like', 'IN'), ('fish', 'NN'), ('.', '.')];['I', 'don’t', 'like', 'fish', '.']
36;Welcome;11;My hobby is reading .;[('My', 'PRP$'), ('hobby', 'NN'), ('is', 'VBZ'), ('reading', 'VBG'), ('.', '.')];['My', 'hobby', 'is', 'reading', '.']
